tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
300,5144.194853,0.0206,4.0,0,4.0,5144.194853,0.0199,4.0,0,4.0,3.54,0.00
301,21947.191176,0.0205,5.0,0,5.0,21947.191176,0.0215,5.0,0,5.0,-4.82,0.00
302,434.169118,0.0216,25.0,0,25.0,434.169118,0.0187,25.0,0,25.0,13.37,0.00
303,420.338235,0.0205,16.0,0,16.0,420.338235,0.0224,16.0,0,16.0,-9.35,0.00
304,31271.827206,0.0210,36.0,0,36.0,31271.827206,0.0222,36.0,0,36.0,-5.72,0.00
305,56087.411765,0.0212,35.0,0,35.0,56087.411765,0.0237,35.0,0,35.0,-11.76,0.00
306,75959.786765,0.0225,34.0,0,34.0,75959.786765,0.0214,34.0,0,34.0,5.14,0.00
307,274.231618,0.0218,33.0,0,33.0,274.231618,0.0210,33.0,0,33.0,3.90,0.00
308,439.654412,0.0190,20.0,0,20.0,439.654412,0.0189,20.0,0,20.0,0.68,0.00
309,53811.360294,0.0216,31.0,0,31.0,53811.360294,0.0266,31.0,0,31.0,-23.00,0.00
310,29506.518382,0.0235,9.0,0,9.0,29506.518382,0.0216,9.0,0,9.0,7.85,0.00
311,71603.286765,0.0217,26.0,0,26.0,71603.286765,0.0224,26.0,0,26.0,-3.32,0.00
312,5918.033088,0.0221,22.0,0,22.0,5918.033088,0.0200,22.0,0,22.0,9.20,0.00
313,56690.187500,0.0232,35.0,0,35.0,56690.187500,0.0242,35.0,0,35.0,-4.25,0.00
314,385.676471,0.0225,36.0,0,36.0,385.676471,0.0236,36.0,0,36.0,-5.10,0.00
315,42455.466912,0.0190,32.0,0,32.0,42455.466912,0.0233,32.0,0,32.0,-22.64,0.00
316,73376.705882,0.0215,34.0,0,34.0,73376.705882,0.0220,34.0,0,34.0,-2.07,0.00
317,39438.371324,0.0232,4.0,0,4.0,39438.371324,0.0224,4.0,0,4.0,3.53,0.00
318,471.268382,0.0215,24.0,0,24.0,471.268382,0.0211,24.0,0,24.0,1.75,0.00
319,85275.161765,0.0387,32.0,0,32.0,85275.161765,0.0209,32.0,0,32.0,46.00,0.00
320,577.415441,0.0201,26.0,0,26.0,577.415441,0.0211,26.0,0,26.0,-4.61,0.00
321,91270.823529,0.0219,38.0,0,38.0,91270.823529,0.0232,38.0,0,38.0,-5.72,0.00
322,37891.033088,0.0206,34.0,0,34.0,37891.033088,0.0221,34.0,0,34.0,-6.92,0.00
323,1014.095588,0.0230,27.0,0,27.0,1014.095588,0.0257,27.0,0,27.0,-11.82,0.00
324,5911.610294,0.0207,5.0,0,5.0,5911.610294,0.0226,5.0,0,5.0,-9.53,0.00
325,5124.216912,0.0202,4.0,0,4.0,5124.216912,0.0210,4.0,0,4.0,-3.95,0.00
326,1152.661765,0.0207,30.0,0,30.0,1152.661765,0.0221,30.0,0,30.0,-7.21,0.00
327,65402.966912,0.0205,34.0,0,34.0,65402.966912,0.0221,34.0,0,34.0,-8.01,0.00
328,27353.297794,0.0222,35.0,0,35.0,27353.297794,0.0229,35.0,0,35.0,-3.34,0.00
329,62948.522059,0.0201,4.0,0,4.0,62948.522059,0.0214,4.0,0,4.0,-6.56,0.00
330,48253.746324,0.0264,35.0,0,35.0,48253.746324,0.0241,35.0,0,35.0,8.64,0.00
331,440.209559,0.0266,32.0,0,32.0,440.209559,0.0203,32.0,0,32.0,23.87,0.00
332,1004.286765,0.0220,4.0,0,4.0,1004.286765,0.0212,4.0,0,4.0,3.45,0.00
333,19004.580882,0.0271,36.0,0,36.0,19004.580882,0.0217,36.0,0,36.0,19.92,0.00
334,69197.753676,0.0230,36.0,0,36.0,69197.753676,0.0252,36.0,0,36.0,-9.77,0.00
335,69247.352941,0.0286,32.0,0,32.0,69247.352941,0.0219,32.0,0,32.0,23.41,0.00
336,2118.518382,0.0204,4.0,0,4.0,2118.518382,0.0216,4.0,0,4.0,-5.84,0.00
337,841.110294,0.0200,22.0,0,22.0,841.110294,0.0237,22.0,0,22.0,-18.71,0.00
338,409.018382,0.0234,19.0,0,19.0,409.018382,0.0206,19.0,0,19.0,11.94,0.00
339,54593.735294,0.0220,35.0,0,35.0,54593.735294,0.0233,35.0,0,35.0,-5.76,0.00
340,74102.044118,0.0225,33.0,0,33.0,74102.044118,0.0240,33.0,0,33.0,-6.61,0.00
341,10600.632353,0.0240,33.0,0,33.0,10600.632353,0.0222,33.0,0,33.0,7.36,0.00
342,797.783088,0.0200,21.0,0,21.0,797.783088,0.0203,21.0,0,21.0,-1.78,0.00
343,551.448529,0.0221,21.0,0,21.0,551.448529,0.0197,21.0,0,21.0,11.15,0.00
344,18532.268382,0.0218,36.0,0,36.0,18532.268382,0.0237,36.0,0,36.0,-9.12,0.00
345,731.720588,0.0207,15.0,0,15.0,731.720588,0.0213,15.0,0,15.0,-2.88,0.00
346,565.275735,0.0202,26.0,0,26.0,565.275735,0.0243,26.0,0,26.0,-20.18,0.00
347,31331.393382,0.0208,25.0,0,25.0,31331.393382,0.0242,25.0,0,25.0,-16.37,0.00
348,70640.485294,0.0225,35.0,0,35.0,70640.485294,0.0222,35.0,0,35.0,1.30,0.00
349,1366.319853,0.0225,24.0,0,24.0,1366.319853,0.0209,24.0,0,24.0,6.82,0.00
350,976.992647,0.0198,8.0,0,8.0,976.992647,0.0220,8.0,0,8.0,-10.81,0.00
351,34807.150735,0.0232,35.0,0,35.0,34807.150735,0.0235,35.0,0,35.0,-1.52,0.00
352,2767.154412,0.0217,20.0,0,20.0,2767.154412,0.0211,20.0,0,20.0,2.73,0.00
353,52790.080882,0.0266,35.0,0,35.0,52790.080882,0.0208,35.0,0,35.0,21.76,0.00
354,602.327206,0.0241,26.0,0,26.0,602.327206,0.0219,26.0,0,26.0,8.83,0.00
