tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
122,11197.205882,0.0206,6.0,11197.205882,0.0201,6.0,11197.205882,0.0255,6.0,11197.205882,0.0234,6.0,2.58,-23.63,-13.44
123,19619.540441,0.0224,29.0,19619.540441,0.0218,29.0,19619.540441,0.0250,29.0,19619.540441,0.0230,29.0,2.80,-11.54,-2.54
124,18261.676471,0.0188,23.0,18261.676471,0.0244,23.0,18261.676471,0.0239,23.0,18261.676471,0.0234,23.0,-29.72,-27.12,-24.25
125,27547.007353,0.0211,6.0,27547.007353,0.0266,6.0,27547.007353,0.0320,6.0,27547.007353,0.0222,6.0,-25.59,-51.27,-4.83
126,6981.988971,0.0202,41.0,6981.988971,0.0210,41.0,6981.988971,0.0427,41.0,6981.988971,0.0237,41.0,-4.20,-111.72,-17.43
127,1517.341912,0.0218,50.0,1517.341912,0.0244,50.0,1517.341912,0.0240,50.0,1517.341912,0.0218,50.0,-12.06,-10.26,-0.08
128,12948.948529,0.0205,44.0,12948.948529,0.0241,44.0,12948.948529,0.0241,44.0,12948.948529,0.0235,44.0,-17.91,-17.71,-14.61
129,9681.253676,0.0195,28.0,9681.253676,0.0225,28.0,9681.253676,0.0239,28.0,9681.253676,0.0216,28.0,-15.82,-22.57,-11.23
130,29137.077206,0.0211,18.0,29137.077206,0.0199,18.0,29137.077206,0.0236,18.0,29137.077206,0.0231,18.0,5.58,-11.96,-9.32
131,11231.044118,0.0190,30.0,11231.044118,0.0209,30.0,11231.044118,0.0239,30.0,11231.044118,0.0239,30.0,-10.08,-25.83,-25.68
132,26832.566176,0.0215,42.0,26832.566176,0.0209,42.0,26832.566176,0.0241,42.0,26832.566176,0.0226,42.0,3.14,-11.88,-5.13
133,5186.161765,0.0218,18.0,5186.161765,0.0195,18.0,5186.161765,0.0319,18.0,5186.161765,0.0222,18.0,10.76,-45.99,-1.84
134,24594.886029,0.0202,21.0,24594.886029,0.0204,21.0,24594.886029,0.0355,21.0,24594.886029,0.0245,21.0,-0.76,-75.16,-21.11
135,17252.558824,0.0217,33.0,17252.558824,0.0207,33.0,17252.558824,0.0361,33.0,17252.558824,0.0232,33.0,4.59,-66.95,-6.95
136,24498.183824,0.0199,7.0,24498.183824,0.0205,7.0,24498.183824,0.0236,7.0,24498.183824,0.0223,7.0,-3.02,-18.42,-12.17
137,23024.422794,0.0213,29.0,23024.422794,0.0213,29.0,23024.422794,0.0268,29.0,23024.422794,0.0240,29.0,0.19,-25.86,-12.58
138,23517.797794,0.0243,3.0,23517.797794,0.0216,3.0,23517.797794,0.0361,3.0,23517.797794,0.0225,3.0,11.43,-48.49,7.53
139,26826.948529,0.0235,32.0,26826.948529,0.0213,32.0,26826.948529,0.0219,32.0,26826.948529,0.0220,32.0,9.45,6.96,6.29
140,38235.408088,0.0195,28.0,38235.408088,0.0189,28.0,38235.408088,0.0230,28.0,38235.408088,0.0241,28.0,3.07,-17.46,-23.37
141,31576.224265,0.0201,33.0,31576.224265,0.0205,33.0,31576.224265,0.0222,33.0,31576.224265,0.0215,33.0,-2.07,-10.56,-7.03
142,24488.606618,0.0265,39.0,24488.606618,0.0204,39.0,24488.606618,0.0235,39.0,24488.606618,0.0229,39.0,23.00,11.38,13.64
143,11354.522059,0.0208,32.0,11354.522059,0.0204,32.0,11354.522059,0.0229,32.0,11354.522059,0.0232,32.0,1.60,-10.35,-11.81
144,20646.882353,0.0228,33.0,20646.882353,0.0198,33.0,20646.882353,0.0265,33.0,20646.882353,0.0276,33.0,12.95,-16.27,-21.16
145,33057.062500,0.0276,6.0,33057.062500,0.0199,6.0,33057.062500,0.0233,6.0,33057.062500,0.0214,6.0,27.92,15.42,22.34
146,15558.154412,0.0215,40.0,15558.154412,0.0220,40.0,15558.154412,0.0300,40.0,15558.154412,0.0229,40.0,-2.49,-39.42,-6.49
147,8376.091912,0.0216,31.0,8376.091912,0.0207,31.0,8376.091912,0.0218,31.0,8376.091912,0.0232,31.0,4.44,-0.68,-7.15
148,9718.397059,0.0209,17.0,9718.397059,0.0186,17.0,9718.397059,0.0216,17.0,9718.397059,0.0207,17.0,10.84,-3.46,0.61
149,5876.268382,0.0199,31.0,5876.268382,0.0190,31.0,5876.268382,0.0206,31.0,5876.268382,0.0351,31.0,4.72,-3.56,-76.33
150,19881.301471,0.0188,2.0,19881.301471,0.0214,2.0,19881.301471,0.0217,2.0,19881.301471,0.0234,2.0,-13.61,-15.14,-24.42
151,4942.257353,0.0199,25.0,4942.257353,0.0188,25.0,4942.257353,0.0252,25.0,4942.257353,0.0202,25.0,5.74,-26.22,-1.52
152,31864.290441,0.0218,6.0,31864.290441,0.0198,6.0,31864.290441,0.0224,6.0,31864.290441,0.0231,6.0,9.05,-3.05,-6.09
153,20209.382353,0.0270,4.0,20209.382353,0.0200,4.0,20209.382353,0.0223,4.0,20209.382353,0.0214,4.0,26.05,17.50,20.77
154,36430.746324,0.0193,6.0,36430.746324,0.0218,6.0,36430.746324,0.0245,6.0,36430.746324,0.0229,6.0,-12.88,-26.74,-18.66
155,1471.044118,0.0212,8.0,1471.044118,0.0179,8.0,1471.044118,0.0236,8.0,1471.044118,0.0351,8.0,15.54,-11.42,-66.06
156,26390.378676,0.0212,2.0,26390.378676,0.0212,2.0,26390.378676,0.0273,2.0,26390.378676,0.0225,2.0,-0.03,-29.28,-6.34
157,2613.738971,0.0200,27.0,2613.738971,0.0202,27.0,2613.738971,0.0259,27.0,2613.738971,0.0223,27.0,-1.11,-29.52,-11.57
