tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
231,8467.371324,0.1121,2.0,8467.371324,0.1053,2.0,8467.371324,0.1120,2.0,8467.371324,0.1088,3.0,6.09,0.11,2.95
232,74378.117647,0.1265,3.0,74378.117647,0.1117,3.0,74378.117647,0.1162,3.0,74378.117647,0.1036,3.0,11.74,8.16,18.10
233,90241.415441,0.0991,4.0,90241.415441,0.1089,4.0,90241.415441,0.1053,4.0,90241.415441,0.1139,4.0,-9.91,-6.22,-14.99
234,15590.827206,0.0990,2.0,15590.827206,0.1120,2.0,15590.827206,0.1106,2.0,15590.827206,0.1171,2.0,-13.17,-11.70,-18.24
235,40897.908088,0.1092,6.0,40897.908088,0.1012,6.0,40897.908088,0.1052,6.0,40897.908088,0.1064,6.0,7.31,3.68,2.60
236,1915.064338,0.1078,6.0,1915.064338,0.1092,6.0,1915.064338,0.1026,6.0,1915.064338,0.1104,6.0,-1.29,4.86,-2.36
237,621.996324,0.1066,6.0,621.996324,0.1058,6.0,621.996324,0.1068,6.0,621.996324,0.1162,6.0,0.68,-0.21,-9.04
238,120548.794118,0.0986,4.0,120548.794118,0.1075,4.0,120548.794118,0.1049,4.0,120548.794118,0.1071,4.0,-9.10,-6.39,-8.67
239,2994.569853,0.0961,3.0,2994.569853,0.1054,3.0,2994.569853,0.1038,3.0,2994.569853,0.1027,3.0,-9.63,-8.01,-6.86
240,2324.110294,0.1125,6.0,2324.110294,0.1161,6.0,2324.110294,0.1139,6.0,2324.110294,0.1208,6.0,-3.25,-1.28,-7.40
241,28304.742647,0.1080,3.0,28304.742647,0.1083,3.0,28304.742647,0.1133,3.0,28304.742647,0.1188,3.0,-0.28,-4.91,-9.93
242,6153.444853,0.1220,2.0,6153.444853,0.1107,2.0,6153.444853,0.1082,2.0,6153.444853,0.1172,2.0,9.31,11.30,3.94
243,13299.764706,0.1071,2.0,13299.764706,0.1110,2.0,13299.764706,0.1095,2.0,13299.764706,0.1166,2.0,-3.62,-2.24,-8.90
244,2505.194853,0.1257,7.0,2505.194853,0.1068,7.0,2505.194853,0.1145,7.0,2505.194853,0.1120,7.0,15.06,8.90,10.89
245,3833.338235,0.1014,8.0,3833.338235,0.1035,8.0,3833.338235,0.1057,8.0,3833.338235,0.1065,8.0,-2.08,-4.25,-5.01
246,30659.849265,0.1031,3.0,30659.849265,0.1121,3.0,30659.849265,0.1074,3.0,30659.849265,0.1137,3.0,-8.72,-4.19,-10.28
247,113124.952206,0.0940,1.0,113124.952206,0.1047,1.0,113124.952206,0.1072,1.0,113124.952206,0.1080,1.0,-11.39,-14.01,-14.84
248,1523.731618,0.1060,2.0,1523.731618,0.1058,2.0,1523.731618,0.1153,2.0,1523.731618,0.1134,2.0,0.12,-8.77,-7.04
249,2410.308824,0.0966,2.0,2410.308824,0.1089,2.0,2410.308824,0.1115,2.0,2410.308824,0.1082,2.0,-12.76,-15.40,-11.98
250,28719.444853,0.0933,3.0,28719.444853,0.1024,3.0,28719.444853,0.1083,3.0,28719.444853,0.1077,1.0,-9.71,-16.08,-15.40
251,133517.654412,0.0929,5.0,133517.654412,0.1127,5.0,133517.654412,0.1073,5.0,133517.654412,0.1069,5.0,-21.28,-15.44,-15.03
252,2457.590074,0.1033,6.0,2457.590074,0.1016,6.0,2457.590074,0.1069,6.0,2457.590074,0.1080,6.0,1.66,-3.47,-4.57
253,2599.068015,0.0971,6.0,2599.068015,0.1158,6.0,2599.068015,0.1013,6.0,2599.068015,0.1053,78.0,-19.25,-4.25,-8.45
254,1602.606618,0.1014,3.0,1602.606618,0.1050,3.0,1602.606618,0.1008,3.0,1602.606618,0.1055,3.0,-3.62,0.60,-4.03
255,20261.779412,0.1062,3.0,20261.779412,0.1102,3.0,20261.779412,0.1014,3.0,20261.779412,0.1065,3.0,-3.78,4.53,-0.32
256,3249.667279,0.0974,5.0,3249.667279,0.1032,5.0,3249.667279,0.0965,5.0,3249.667279,0.1048,5.0,-5.97,0.95,-7.64
257,24873.830882,0.1177,3.0,24873.830882,0.1040,3.0,24873.830882,0.0971,3.0,24873.830882,0.1067,3.0,11.63,17.44,9.30
258,26172.393382,0.0972,6.0,26172.393382,0.1103,6.0,26172.393382,0.0994,6.0,26172.393382,0.1115,6.0,-13.50,-2.26,-14.72
259,10413.308824,0.1175,5.0,10413.308824,0.1110,5.0,10413.308824,0.1020,5.0,10413.308824,0.1115,5.0,5.48,13.20,5.07
260,2116.647059,0.0991,2.0,2116.647059,0.1027,2.0,2116.647059,0.0983,2.0,2116.647059,0.1114,2.0,-3.64,0.76,-12.42
261,10164.904412,0.0972,1.0,10164.904412,0.1041,1.0,10164.904412,0.1000,1.0,10164.904412,0.1116,1.0,-7.13,-2.90,-14.87
262,2976.488971,0.0936,9.0,2976.488971,0.1034,9.0,2976.488971,0.1005,9.0,2976.488971,0.1056,9.0,-10.50,-7.44,-12.93
263,12669.172794,0.1003,3.0,12669.172794,0.1108,3.0,12669.172794,0.1023,3.0,12669.172794,0.1023,3.0,-10.47,-2.03,-2.06
264,117559.341912,0.0953,2.0,117559.341912,0.1056,2.0,117559.341912,0.0953,2.0,117559.341912,0.1094,2.0,-10.78,-0.02,-14.78
265,4043.183824,0.0936,2.0,4043.183824,0.1068,2.0,4043.183824,0.0985,2.0,4043.183824,0.1080,2.0,-14.05,-5.19,-15.34
266,18755.327206,0.1089,3.0,18755.327206,0.1169,3.0,18755.327206,0.1126,3.0,18755.327206,0.1259,3.0,-7.34,-3.39,-15.68
267,25337.375000,0.1040,2.0,25337.375000,0.1095,2.0,25337.375000,0.1017,2.0,25337.375000,0.1103,2.0,-5.29,2.21,-6.06
268,4640.349265,0.0951,2.0,4640.349265,0.1003,2.0,4640.349265,0.0963,2.0,4640.349265,0.1158,2.0,-5.45,-1.26,-21.81
269,682.713235,0.0979,7.0,682.713235,0.1034,7.0,682.713235,0.1009,7.0,682.713235,0.1033,7.0,-5.53,-3.00,-5.44
270,710.455882,0.0925,2.0,710.455882,0.1033,2.0,710.455882,0.0958,2.0,710.455882,0.1089,2.0,-11.63,-3.53,-17.67
271,29585.808824,0.0969,2.0,29585.808824,0.1010,2.0,29585.808824,0.1012,2.0,29585.808824,0.1130,2.0,-4.25,-4.46,-16.62
272,6280.156250,0.0955,7.0,6280.156250,0.0983,7.0,6280.156250,0.1034,7.0,6280.156250,0.1139,7.0,-2.90,-8.25,-19.21
273,12237.750000,0.1005,3.0,12237.750000,0.1049,3.0,12237.750000,0.1025,3.0,12237.750000,0.1177,3.0,-4.34,-2.00,-17.15
274,28094.132353,0.0987,3.0,28094.132353,0.1000,3.0,28094.132353,0.1028,3.0,28094.132353,0.1085,3.0,-1.27,-4.15,-9.86
275,20195.970588,0.1032,2.0,20195.970588,0.0990,2.0,20195.970588,0.1068,2.0,20195.970588,0.1120,2.0,4.03,-3.58,-8.55
276,29227.525735,0.1038,2.0,29227.525735,0.0953,2.0,29227.525735,0.1014,2.0,29227.525735,0.1131,2.0,8.17,2.24,-8.97
277,4726.860294,0.1004,2.0,4726.860294,0.1027,2.0,4726.860294,0.1139,2.0,4726.860294,0.1198,2.0,-2.35,-13.43,-19.38
278,5020.040441,0.1227,3.0,5020.040441,0.1023,3.0,5020.040441,0.1059,3.0,5020.040441,0.1194,3.0,16.61,13.69,2.74
279,10066.742647,0.1117,5.0,10066.742647,0.1066,5.0,10066.742647,0.1104,5.0,10066.742647,0.1217,5.0,4.56,1.22,-8.91
280,4474.066176,0.1018,4.0,4474.066176,0.1014,4.0,4474.066176,0.1056,4.0,4474.066176,0.1084,4.0,0.45,-3.68,-6.43
281,30430.125000,0.1062,3.0,30430.125000,0.1095,3.0,30430.125000,0.1102,3.0,30430.125000,0.1127,2.0,-3.10,-3.79,-6.10
282,41522.404412,0.1060,2.0,41522.404412,0.1041,2.0,41522.404412,0.1069,2.0,41522.404412,0.1261,2.0,1.77,-0.86,-18.98
283,14004.113971,0.1038,3.0,14004.113971,0.1094,3.0,14004.113971,0.1092,3.0,14004.113971,0.1108,1.0,-5.40,-5.23,-6.81
284,26391.272059,0.1250,3.0,26391.272059,0.1075,3.0,26391.272059,0.1070,3.0,26391.272059,0.1144,3.0,13.99,14.38,8.45
285,5927.029412,0.1066,2.0,5927.029412,0.1041,2.0,5927.029412,0.1091,2.0,5927.029412,0.1043,2.0,2.28,-2.38,2.13
286,1769.382353,0.0958,6.0,1769.382353,0.1039,6.0,1769.382353,0.1010,6.0,1769.382353,0.1036,6.0,-8.46,-5.41,-8.16
287,23669.735294,0.1102,3.0,23669.735294,0.1078,3.0,23669.735294,0.1113,3.0,23669.735294,0.1071,3.0,2.21,-1.00,2.82
288,5060.014706,0.1119,2.0,5060.014706,0.1083,2.0,5060.014706,0.1097,2.0,5060.014706,0.1165,2.0,3.23,1.90,-4.14
289,2541.908088,0.0987,3.0,2541.908088,0.1089,3.0,2541.908088,0.1074,3.0,2541.908088,0.2035,3.0,-10.29,-8.76,-106.14
290,2673.533088,0.1092,3.0,2673.533088,0.1028,3.0,2673.533088,0.1052,3.0,2673.533088,0.1682,3.0,5.84,3.59,-54.08
291,2067.764706,0.1054,3.0,2067.764706,0.1098,3.0,2067.764706,0.1113,3.0,2067.764706,0.1201,3.0,-4.14,-5.55,-13.92
292,1829.003676,0.0971,5.0,1829.003676,0.1037,5.0,1829.003676,0.1092,5.0,1829.003676,0.1064,5.0,-6.73,-12.44,-9.57
293,1326.143382,0.1087,2.0,1326.143382,0.1129,2.0,1326.143382,0.1099,2.0,1326.143382,0.1132,2.0,-3.86,-1.03,-4.06
294,2022.036765,0.1054,3.0,2022.036765,0.1095,3.0,2022.036765,0.1112,3.0,2022.036765,0.1556,3.0,-3.80,-5.47,-47.57
295,8073.740809,0.0952,6.0,8073.740809,0.1030,6.0,8073.740809,0.1042,6.0,8073.740809,0.1231,6.0,-8.21,-9.40,-29.24
296,3580.341912,0.1012,5.0,3580.341912,0.1066,5.0,3580.341912,0.1088,5.0,3580.341912,0.1102,5.0,-5.38,-7.57,-8.88
297,69267.897059,0.1133,2.0,69267.897059,0.1044,2.0,69267.897059,0.1066,2.0,69267.897059,0.1403,2.0,7.87,5.95,-23.77
298,23707.018382,0.1127,3.0,23707.018382,0.1056,3.0,23707.018382,0.1134,3.0,23707.018382,0.1224,3.0,6.24,-0.67,-8.69
299,24272.286765,0.1048,3.0,24272.286765,0.1097,3.0,24272.286765,0.1108,3.0,24272.286765,0.1139,3.0,-4.68,-5.78,-8.74
300,25666.099265,0.1040,2.0,25666.099265,0.1098,2.0,25666.099265,0.1107,2.0,25666.099265,0.1157,2.0,-5.59,-6.45,-11.32
301,1439.919118,0.1099,3.0,1439.919118,0.1097,3.0,1439.919118,0.1077,3.0,1439.919118,0.1086,3.0,0.18,2.06,1.19
302,30534.838235,0.0990,6.0,30534.838235,0.0980,6.0,30534.838235,0.0997,6.0,30534.838235,0.1054,6.0,1.06,-0.64,-6.44
303,1331.018382,0.1076,2.0,1331.018382,0.1099,2.0,1331.018382,0.1100,2.0,1331.018382,0.1142,2.0,-2.06,-2.14,-6.06
304,26724.113971,0.1083,2.0,26724.113971,0.1131,2.0,26724.113971,0.1195,2.0,26724.113971,0.1185,2.0,-4.44,-10.31,-9.44
305,37513.216912,0.1008,6.0,37513.216912,0.1013,6.0,37513.216912,0.1004,6.0,37513.216912,0.1033,6.0,-0.47,0.35,-2.49
306,1327.338235,0.1061,2.0,1327.338235,0.1071,2.0,1327.338235,0.1076,2.0,1327.338235,0.1174,2.0,-1.00,-1.47,-10.66
307,1767.525735,0.1057,2.0,1767.525735,0.1102,2.0,1767.525735,0.1151,2.0,1767.525735,0.1167,2.0,-4.31,-8.90,-10.47
308,2232.279412,0.1066,2.0,2232.279412,0.1056,2.0,2232.279412,0.1124,2.0,2232.279412,0.1106,2.0,0.98,-5.42,-3.70
309,5203.588235,0.1170,3.0,5203.588235,0.1077,3.0,5203.588235,0.1083,3.0,5203.588235,0.1348,3.0,7.92,7.43,-15.25
310,15115.702206,0.1060,3.0,15115.702206,0.1057,3.0,15115.702206,0.1071,3.0,15115.702206,0.1419,3.0,0.36,-1.03,-33.84
311,702.955882,0.1079,6.0,702.955882,0.1114,6.0,702.955882,0.1191,6.0,702.955882,0.1409,6.0,-3.25,-10.34,-30.54
312,4104.474265,0.0993,3.0,4104.474265,0.1118,3.0,4104.474265,0.1185,3.0,4104.474265,0.1141,3.0,-12.65,-19.32,-14.89
313,3871.187500,0.1019,2.0,3871.187500,0.1066,2.0,3871.187500,0.1061,2.0,3871.187500,0.1104,2.0,-4.67,-4.14,-8.32
